Time resolution is 1 ps
the count is  x , load is 0,data is  0 at time                    0
the count is  0 , load is 0,data is  0 at time                 5000
the count is  1 , load is 0,data is  0 at time                25000
the count is  2 , load is 0,data is  0 at time                35000
the count is  3 , load is 0,data is  0 at time                45000
the count is  4 , load is 0,data is  0 at time                55000
the count is  5 , load is 0,data is  0 at time                65000
the count is  5 , load is 1,data is 11 at time                70000
the count is 11 , load is 1,data is 11 at time                75000
the count is 11 , load is 0,data is 11 at time                90000
the count is 12 , load is 0,data is 11 at time                95000
the count is 13 , load is 0,data is 11 at time               105000
the count is 14 , load is 0,data is 11 at time               115000
the count is 15 , load is 0,data is 11 at time               125000
the count is  0 , load is 0,data is 11 at time               135000
the count is  1 , load is 0,data is 11 at time               145000
the count is  2 , load is 0,data is 11 at time               155000
the count is  3 , load is 0,data is 11 at time               165000
the count is  4 , load is 0,data is 11 at time               175000
the count is  5 , load is 0,data is 11 at time               185000
the count is  6 , load is 0,data is 11 at time               195000
the count is  7 , load is 0,data is 11 at time               205000
the count is  8 , load is 0,data is 11 at time               215000
the count is  9 , load is 0,data is 11 at time               225000
the count is 10 , load is 0,data is 11 at time               235000
the count is 11 , load is 0,data is 11 at time               245000
the count is 12 , load is 0,data is 11 at time               255000
the count is 13 , load is 0,data is 11 at time               265000
the count is 14 , load is 0,data is 11 at time               275000
the count is 15 , load is 0,data is 11 at time               285000
the count is  0 , load is 0,data is 11 at time               295000
the count is  1 , load is 0,data is 11 at time               305000
the count is  2 , load is 0,data is 11 at time               315000
the count is  3 , load is 0,data is 11 at time               325000
the count is  4 , load is 0,data is 11 at time               335000
the count is  5 , load is 0,data is 11 at time               345000
the count is  6 , load is 0,data is 11 at time               355000
the count is  7 , load is 0,data is 11 at time               365000
the count is  8 , load is 0,data is 11 at time               375000
the count is  9 , load is 0,data is 11 at time               385000
the count is 10 , load is 0,data is 11 at time               395000
the count is 11 , load is 0,data is 11 at time               405000
the count is 12 , load is 0,data is 11 at time               415000
the count is 13 , load is 0,data is 11 at time               425000
the count is 14 , load is 0,data is 11 at time               435000
the count is 15 , load is 0,data is 11 at time               445000
the count is  0 , load is 0,data is 11 at time               455000
the count is  1 , load is 0,data is 11 at time               465000
the count is  2 , load is 0,data is 11 at time               475000
the count is  3 , load is 0,data is 11 at time               485000
the count is  4 , load is 0,data is 11 at time               495000
the count is  5 , load is 0,data is 11 at time               505000
the count is  6 , load is 0,data is 11 at time               515000
the count is  7 , load is 0,data is 11 at time               525000
the count is  8 , load is 0,data is 11 at time               535000
the count is  9 , load is 0,data is 11 at time               545000
the count is 10 , load is 0,data is 11 at time               555000
the count is 11 , load is 0,data is 11 at time               565000
the count is 12 , load is 0,data is 11 at time               575000
the count is 13 , load is 0,data is 11 at time               585000
the count is 14 , load is 0,data is 11 at time               595000
the count is 15 , load is 0,data is 11 at time               605000
the count is  0 , load is 0,data is 11 at time               615000
the count is  1 , load is 0,data is 11 at time               625000
the count is  2 , load is 0,data is 11 at time               635000
the count is  3 , load is 0,data is 11 at time               645000
the count is  4 , load is 0,data is 11 at time               655000
the count is  5 , load is 0,data is 11 at time               665000
the count is  6 , load is 0,data is 11 at time               675000
the count is  7 , load is 0,data is 11 at time               685000
the count is  8 , load is 0,data is 11 at time               695000
the count is  9 , load is 0,data is 11 at time               705000
the count is 10 , load is 0,data is 11 at time               715000
the count is 11 , load is 0,data is 11 at time               725000
the count is 12 , load is 0,data is 11 at time               735000
the count is 13 , load is 0,data is 11 at time               745000
the count is 14 , load is 0,data is 11 at time               755000
the count is 15 , load is 0,data is 11 at time               765000
the count is  0 , load is 0,data is 11 at time               775000
the count is  1 , load is 0,data is 11 at time               785000
the count is  2 , load is 0,data is 11 at time               795000
the count is  3 , load is 0,data is 11 at time               805000
the count is  4 , load is 0,data is 11 at time               815000
the count is  5 , load is 0,data is 11 at time               825000
the count is  6 , load is 0,data is 11 at time               835000
the count is  7 , load is 0,data is 11 at time               845000
the count is  8 , load is 0,data is 11 at time               855000
the count is  9 , load is 0,data is 11 at time               865000
the count is 10 , load is 0,data is 11 at time               875000
the count is 11 , load is 0,data is 11 at time               885000
the count is 12 , load is 0,data is 11 at time               895000
the count is 13 , load is 0,data is 11 at time               905000
the count is 14 , load is 0,data is 11 at time               915000
the count is 15 , load is 0,data is 11 at time               925000
the count is  0 , load is 0,data is 11 at time               935000
the count is  1 , load is 0,data is 11 at time               945000
the count is  2 , load is 0,data is 11 at time               955000
the count is  3 , load is 0,data is 11 at time               965000
the count is  4 , load is 0,data is 11 at time               975000
the count is  5 , load is 0,data is 11 at time               985000
the count is  6 , load is 0,data is 11 at time               995000
